City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Mayo,US,55.94,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
1,Puerto Ayora,EC,64.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Sur,OM,86.16,clear sky,22.5667,59.5289,Sur Plaza Hotel
3,Tierranueva,MX,61.45,overcast clouds,21.6833,-100.5667,La nueva patria y libertad
4,Port Alfred,ZA,76.53,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
5,Ewa Beach,US,77.43,clear sky,21.3156,-158.0072,Base Lodging
6,Bambous Virieux,MU,80.85,few clouds,-20.3428,57.7575,Casa Tia Villa
7,Rikitea,PF,73.38,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Vila Velha,BR,75.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
10,Asau,RO,52.72,clear sky,46.4333,26.4,Casa Mika Ciobanus
11,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
13,Mahebourg,MU,80.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Kruisfontein,ZA,78.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
16,Esperance,AU,55.24,moderate rain,-33.8667,121.9,Hospitality Esperance
17,Busselton,AU,54.09,overcast clouds,-33.65,115.3333,Observatory Guest House
18,Bredasdorp,ZA,76.82,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
20,Marica,BR,73.31,overcast clouds,-22.9194,-42.8186,Marica Hills
21,Half Moon Bay,US,54.75,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
22,Cape Town,ZA,75.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
23,Ribeira Grande,PT,59.77,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
24,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
25,Hilo,US,73.26,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
27,Carnarvon,AU,68.77,few clouds,-24.8667,113.6333,Hospitality Carnarvon
28,Mataura,NZ,55.6,moderate rain,-46.1927,168.8643,Ellie's Villa
29,Farah,AF,82.89,few clouds,32.5,62.5,
30,Faanui,PF,79.9,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
