City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Mayo,US,38.8876,-76.5119,55.94,78,100,8.05,overcast clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,64.54,97,98,5.99,overcast clouds
2,Sur,OM,22.5667,59.5289,86.16,46,0,9.93,clear sky
3,Tierranueva,MX,21.6833,-100.5667,61.45,84,87,6.4,overcast clouds
4,Port Alfred,ZA,-33.5906,26.891,76.53,57,76,12.26,broken clouds
5,Ewa Beach,US,21.3156,-158.0072,77.43,83,0,4.0,clear sky
6,Bambous Virieux,MU,-20.3428,57.7575,80.85,50,20,8.05,few clouds
7,Rikitea,PF,-23.1203,-134.9692,73.38,83,100,8.97,overcast clouds
8,Deputatskiy,RU,69.3,139.9,-9.67,97,84,6.35,broken clouds
9,Vila Velha,BR,-20.3297,-40.2925,75.94,86,0,5.75,clear sky
10,Asau,RO,46.4333,26.4,52.72,42,3,4.34,clear sky
11,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,47,20,8.05,few clouds
12,Yellowknife,CA,62.456,-114.3525,19.92,93,100,8.05,light snow
13,Mahebourg,MU,-20.4081,57.7,80.89,50,20,8.05,few clouds
14,Barrow,US,71.2906,-156.7887,21.22,93,100,21.85,light snow
15,Kruisfontein,ZA,-34.0033,24.7314,78.89,35,100,6.38,overcast clouds
16,Esperance,AU,-33.8667,121.9,55.24,87,100,16.89,moderate rain
17,Busselton,AU,-33.65,115.3333,54.09,87,100,17.27,overcast clouds
18,Bredasdorp,ZA,-34.5322,20.0403,76.82,45,100,4.14,overcast clouds
19,Tasiilaq,GL,65.6145,-37.6368,34.0,98,100,9.66,snow
20,Marica,BR,-22.9194,-42.8186,73.31,87,88,4.59,overcast clouds
21,Half Moon Bay,US,37.4636,-122.4286,54.75,84,100,8.05,overcast clouds
22,Cape Town,ZA,-33.9258,18.4232,75.27,60,0,9.22,clear sky
23,Ribeira Grande,PT,38.5167,-28.7,59.77,67,40,6.91,scattered clouds
24,Hithadhoo,MV,-0.6,73.0833,82.18,78,100,22.01,overcast clouds
25,Hilo,US,19.7297,-155.09,73.26,90,2,5.99,clear sky
26,Kemerovo,RU,55.3333,86.0833,29.89,86,100,13.42,light snow
27,Carnarvon,AU,-24.8667,113.6333,68.77,64,14,25.99,few clouds
28,Mataura,NZ,-46.1927,168.8643,55.6,99,100,0.43,moderate rain
29,Farah,AF,32.5,62.5,82.89,10,12,7.47,few clouds
30,Faanui,PF,-16.4833,-151.75,79.9,75,100,13.2,overcast clouds
31,Svetlaya,RU,46.5389,138.3297,44.26,82,98,5.84,overcast clouds
32,Najran,SA,17.4924,44.1277,81.25,13,39,12.08,scattered clouds
33,Shache,CN,38.4167,77.2406,66.87,16,9,6.44,clear sky
34,Cherskiy,RU,68.75,161.3,-3.05,99,99,3.96,overcast clouds
35,Kobryn,BY,52.2138,24.3564,55.35,65,100,12.97,overcast clouds
36,Ushuaia,AR,-54.8,-68.3,35.26,87,40,2.3,scattered clouds
37,Howard,US,39.2504,-76.933,54.64,82,97,1.01,overcast clouds
38,Mumbwa,ZM,-14.9783,27.0619,91.89,21,51,9.33,broken clouds
39,Tres Arroyos,AR,-38.3739,-60.2798,55.08,93,100,9.82,light rain
40,San Blas,MX,21.5167,-105.2667,71.33,90,0,2.48,clear sky
41,Tiarei,PF,-17.5333,-149.3333,77.02,81,62,11.05,light rain
42,Hobart,AU,-42.8794,147.3294,51.66,74,40,18.41,scattered clouds
43,Faya,SA,18.3851,42.4509,75.31,32,12,2.77,few clouds
44,Camana,PE,-16.6228,-72.7111,60.03,84,62,5.28,broken clouds
45,Alirajpur,IN,22.3031,74.3546,89.53,23,0,7.0,clear sky
46,Kaitangata,NZ,-46.2817,169.8464,53.58,98,89,3.85,light rain
47,Vaini,TO,-21.2,-175.2,75.36,88,20,5.75,few clouds
48,Soria,ES,41.6667,-2.6667,63.45,34,97,9.64,overcast clouds
49,Gimli,CA,50.6336,-96.9907,41.02,81,100,4.61,overcast clouds
